species_group,origin,exporter,importer,seized_shipments
pythons_reptiles,MX,GT,US,3
sea_fan,ES,ES,US,3
primates,XX,DE,GB,3
pythons_reptiles,US,FR,US,3
pangolin,MZ,MZ,US,3
carnivorous_plants,MY,MY,US,3
shark_ray,NL,NL,US,3
carnivorous_plants,CZ,CZ,US,3
cheetah,AE,AE,IN,3
medicinal_plants,XX,NL,US,3
lion,DE,BE,ZA,2
sea_fan,ID,ID,BE,2
sea_fan,XX,US,CA,2
birds,ZA,ZA,US,2
agarwood,CN,CN,US,2
birds,US,US,NL,2
birds,FR,FR,US,2
owl,DE,DE,US,2
pythons_reptiles,XX,PE,US,2
pythons_reptiles,ZA,US,IT,2
pythons_reptiles,ZM,KR,US,2
pythons_reptiles,ZW,DE,US,2
pythons_reptiles,ZW,ZM,US,2
pythons_reptiles,MY,CH,US,2
pythons_reptiles,PG,KR,US,2
pythons_reptiles,XX,PT,US,2
pythons_reptiles,XX,DK,US,2
pythons_reptiles,XX,HN,US,2
pythons_reptiles,BR,BR,US,2
rosewood,XX,FR,US,2
rosewood,XX,US,TW,2
elephant,XX,US,CH,2
elephant,XX,KH,US,2
shark_ray,VE,VE,US,2
elephant,XX,US,CN,2
elephant,XX,CZ,US,2
elephant,AO,AO,US,2
primates,MU,US,AE,2
primates,MU,US,TW,2
primates,MU,CH,US,2
primates,XX,SG,MY,2
musk_deer,CN,MY,US,2
musk_deer,XX,IN,US,2
musk_deer,XX,TW,US,2
medicinal_plants,HK,HK,US,2
leopard,ZA,CA,US,2
tiger,XX,TH,US,2
sea_fan,TW,DK,US,2
sea_fan,XX,MY,US,2
pythons_reptiles,VN,AE,US,2
pythons_reptiles,XX,BR,US,2
medicinal_plants,XX,SG,US,2
sea_fan,XX,US,TH,2
sea_fan,XX,US,JP,2
sea_fan,XX,CO,US,2
sea_fan,XX,FM,US,2
sea_fan,XX,MH,US,2
sea_fan,XX,SG,US,2
bear,XX,XX,US,2
monitor_lizard,ID,US,CA,2
monitor_lizard,ID,SG,US,2
monitor_lizard,MY,BR,US,2
elephant,US,US,CA,2
primates,XX,ES,GI,2
elephant,XX,AT,CH,2
elephant,XX,AT,MY,2
elephant,XX,NL,KE,2
primates,XX,CH,DE,2
birds,XX,KW,KR,2
resins_gums,TH,TH,US,2
agarwood,XX,US,SN,2
birds,US,US,BE,2
birds,XX,US,CA,2
owl,CN,CN,US,2
cacti_succulents,US,US,NP,2
cacti_succulents,US,CA,US,2
cacti_succulents,CA,CA,US,2
cacti_succulents,XX,KH,US,2
sea_fan,XX,AR,US,2
pythons_reptiles,ZW,PT,US,2
pythons_reptiles,TZ,TZ,US,2
orchids,MH,MH,US,2
carnivorous_plants,ZA,ZA,US,2
elephant,XX,LA,US,2
orchids,XX,XX,US,2
elephant,XX,BE,US,2
elephant,MZ,MZ,US,2
elephant,XX,CM,US,2
elephant,TZ,KE,US,2
elephant,CM,CM,US,2
pangolin,XX,TH,US,2
pangolin,XX,US,SN,2
musk_deer,XX,RU,US,2
owl,XX,FR,MC,2
owl,XX,MC,FR,2
orchids,MX,MX,US,2
primates,CM,CA,US,2
medicinal_plants,US,US,CH,2
medicinal_plants,US,US,CO,2
medicinal_plants,US,US,NZ,2
lion,AR,AR,TH,2
lion,ZW,ZW,US,2
lion,KE,KE,US,2
leopard,KE,KE,US,2
tiger,XX,KR,US,2
sea_fan,TW,HK,US,2
shark_ray,SN,MG,US,2
birds,XX,US,SN,2
birds,KW,KW,US,2
red_sanders,IN,LK,CN,2
pythons_reptiles,VN,BE,US,2
pythons_reptiles,VN,MX,US,2
pythons_reptiles,ID,US,JP,2
pythons_reptiles,XX,US,JP,2
medicinal_plants,XX,US,SN,2
medicinal_plants,VN,VN,US,2
sea_fan,ID,US,CR,2
sea_fan,XX,US,AU,2
sea_fan,PH,KR,US,2
sea_fan,BS,HT,US,2
orchids,IN,IN,US,2
monitor_lizard,XX,FR,US,2
monitor_lizard,XX,GB,US,2
birds,SR,NL,SR,2
sea_fan,VN,VN,TR,2
birds,XX,US,DE,2
pythons_reptiles,XX,CH,FR,2
rosewood,IN,IN,GB,2
medicinal_plants,US,US,VN,2
lion,CO,CO,ZA,2
resins_gums,ZA,ZA,US,2
birds,XX,US,ZA,2
cacti_succulents,XX,FR,US,2
